hlpi_name,series_ref,quarter,hlpi,nzhec,nzhec_name,nzhec_short,level,index,change.q,change.a
Income quintile 2,HPIQ.SIQ205,2009Q2,disq2,5,Household contents and services,Contents and services,group,1054,1.3,2.7
Income quintile 3,HPIQ.SIQ305,2009Q2,disq3,5,Household contents and services,Contents and services,group,1039,1.4,3.2
Income quintile 4,HPIQ.SIQ405,2009Q2,disq4,5,Household contents and services,Contents and services,group,1032,1.7,3.5
Income quintile 5 (high),HPIQ.SIQ505,2009Q2,disq5,5,Household contents and services,Contents and services,group,1040,1.5,2.4
Expenditure quintile 1 (low),HPIQ.SEQ105,2009Q2,expq1,5,Household contents and services,Contents and services,group,1064,1.7,4.5
Expenditure quintile 2,HPIQ.SEQ205,2009Q2,expq2,5,Household contents and services,Contents and services,group,1044,1.3,2.2
Expenditure quintile 3,HPIQ.SEQ305,2009Q2,expq3,5,Household contents and services,Contents and services,group,1039,1.4,3.4
Expenditure quintile 4,HPIQ.SEQ405,2009Q2,expq4,5,Household contents and services,Contents and services,group,1040,1.5,3.4
Expenditure quintile 5 (high),HPIQ.SEQ505,2009Q2,expq5,5,Household contents and services,Contents and services,group,1030,1.5,2.3
Maori,HPIQ.SMAO05,2009Q2,maori,5,Household contents and services,Contents and services,group,1063,1.6,3.2
Superannuitant,HPIQ.SSUP05,2009Q2,super,5,Household contents and services,Contents and services,group,1016,1.4,3.8
All households,HPIQ.SALL051,2009Q2,allhh,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1052,0.9,1.4
Beneficiary,HPIQ.SBEN051,2009Q2,benef,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1127,1.5,4.3
Income quintile 1 (low),HPIQ.SIQ1051,2009Q2,disq1,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1069,0.6,2.2
Income quintile 2,HPIQ.SIQ2051,2009Q2,disq2,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1061,0.2,0.3
Income quintile 3,HPIQ.SIQ3051,2009Q2,disq3,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1043,1,1.6
Income quintile 4,HPIQ.SIQ4051,2009Q2,disq4,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1037,1.3,2.7
Income quintile 5 (high),HPIQ.SIQ5051,2009Q2,disq5,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1070,1.2,0
Expenditure quintile 1 (low),HPIQ.SEQ1051,2009Q2,expq1,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1104,2.1,5.1
Expenditure quintile 2,HPIQ.SEQ2051,2009Q2,expq2,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1039,-0.4,-0.6
Expenditure quintile 3,HPIQ.SEQ3051,2009Q2,expq3,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1051,0.6,1.4
Expenditure quintile 4,HPIQ.SEQ4051,2009Q2,expq4,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1064,1,1.7
Expenditure quintile 5 (high),HPIQ.SEQ5051,2009Q2,expq5,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1047,1.4,0.9
Maori,HPIQ.SMAO051,2009Q2,maori,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,1102,1.3,2.6
Superannuitant,HPIQ.SSUP051,2009Q2,super,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,987,0.3,2.3
All households,HPIQ.SALL052,2009Q2,allhh,5.2,Household textiles,Textiles,subgroup,1020,1.6,2.5
Beneficiary,HPIQ.SBEN052,2009Q2,benef,5.2,Household textiles,Textiles,subgroup,1033,1.5,4.2
Income quintile 1 (low),HPIQ.SIQ1052,2009Q2,disq1,5.2,Household textiles,Textiles,subgroup,1026,2.2,3.5
Income quintile 2,HPIQ.SIQ2052,2009Q2,disq2,5.2,Household textiles,Textiles,subgroup,1010,1.8,3.2
Income quintile 3,HPIQ.SIQ3052,2009Q2,disq3,5.2,Household textiles,Textiles,subgroup,1015,1.4,2.6
Income quintile 4,HPIQ.SIQ4052,2009Q2,disq4,5.2,Household textiles,Textiles,subgroup,1010,1.5,2
Income quintile 5 (high),HPIQ.SIQ5052,2009Q2,disq5,5.2,Household textiles,Textiles,subgroup,1043,1,1.5
Expenditure quintile 1 (low),HPIQ.SEQ1052,2009Q2,expq1,5.2,Household textiles,Textiles,subgroup,1021,2,3
Expenditure quintile 2,HPIQ.SEQ2052,2009Q2,expq2,5.2,Household textiles,Textiles,subgroup,1023,1.9,3.5
Expenditure quintile 3,HPIQ.SEQ3052,2009Q2,expq3,5.2,Household textiles,Textiles,subgroup,1011,1.7,2.7
Expenditure quintile 4,HPIQ.SEQ4052,2009Q2,expq4,5.2,Household textiles,Textiles,subgroup,1022,1.4,2.4
Expenditure quintile 5 (high),HPIQ.SEQ5052,2009Q2,expq5,5.2,Household textiles,Textiles,subgroup,1031,1.2,1.6
Maori,HPIQ.SMAO052,2009Q2,maori,5.2,Household textiles,Textiles,subgroup,1011,1.7,3.4
Superannuitant,HPIQ.SSUP052,2009Q2,super,5.2,Household textiles,Textiles,subgroup,1002,2.6,4.2
All households,HPIQ.SALL053,2009Q2,allhh,5.3,Household appliances,Appliances,subgroup,1096,2.4,3.2
Beneficiary,HPIQ.SBEN053,2009Q2,benef,5.3,Household appliances,Appliances,subgroup,1113,3,3.5
Income quintile 1 (low),HPIQ.SIQ1053,2009Q2,disq1,5.3,Household appliances,Appliances,subgroup,1087,2.1,2.8
Income quintile 2,HPIQ.SIQ2053,2009Q2,disq2,5.3,Household appliances,Appliances,subgroup,1104,2.5,3.2
Income quintile 3,HPIQ.SIQ3053,2009Q2,disq3,5.3,Household appliances,Appliances,subgroup,1092,2.2,3.6
Income quintile 4,HPIQ.SIQ4053,2009Q2,disq4,5.3,Household appliances,Appliances,subgroup,1098,2.4,2.8
Income quintile 5 (high),HPIQ.SIQ5053,2009Q2,disq5,5.3,Household appliances,Appliances,subgroup,1093,2.5,3.5
Expenditure quintile 1 (low),HPIQ.SEQ1053,2009Q2,expq1,5.3,Household appliances,Appliances,subgroup,1116,1.9,3.5
Expenditure quintile 2,HPIQ.SEQ2053,2009Q2,expq2,5.3,Household appliances,Appliances,subgroup,1098,3.2,2.4
Expenditure quintile 3,HPIQ.SEQ3053,2009Q2,expq3,5.3,Household appliances,Appliances,subgroup,1102,2.1,3.6
Expenditure quintile 4,HPIQ.SEQ4053,2009Q2,expq4,5.3,Household appliances,Appliances,subgroup,1076,1.7,3.8
Expenditure quintile 5 (high),HPIQ.SEQ5053,2009Q2,expq5,5.3,Household appliances,Appliances,subgroup,1094,2.7,3.1
Maori,HPIQ.SMAO053,2009Q2,maori,5.3,Household appliances,Appliances,subgroup,1097,2.8,2
Superannuitant,HPIQ.SSUP053,2009Q2,super,5.3,Household appliances,Appliances,subgroup,1087,2.5,3.2
All households,HPIQ.SALL054,2009Q2,allhh,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,979,1,-0.2
Beneficiary,HPIQ.SBEN054,2009Q2,benef,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,1003,1.9,0.3
Income quintile 1 (low),HPIQ.SIQ1054,2009Q2,disq1,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,1003,0.7,-1.2
Income quintile 2,HPIQ.SIQ2054,2009Q2,disq2,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,1004,1.5,0.8
Income quintile 3,HPIQ.SIQ3054,2009Q2,disq3,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,977,0.6,-0.9
Income quintile 4,HPIQ.SIQ4054,2009Q2,disq4,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,970,1.8,0.8
Income quintile 5 (high),HPIQ.SIQ5054,2009Q2,disq5,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,948,1.2,-0.6
Expenditure quintile 1 (low),HPIQ.SEQ1054,2009Q2,expq1,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,1024,0.4,-1.1
Expenditure quintile 2,HPIQ.SEQ2054,2009Q2,expq2,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,988,2,1.1
Expenditure quintile 3,HPIQ.SEQ3054,2009Q2,expq3,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,979,1.2,0.2
Expenditure quintile 4,HPIQ.SEQ4054,2009Q2,expq4,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,970,1.1,-0.5
Expenditure quintile 5 (high),HPIQ.SEQ5054,2009Q2,expq5,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,947,0.9,-0.7
Maori,HPIQ.SMAO054,2009Q2,maori,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,1023,1.1,-0.5
Superannuitant,HPIQ.SSUP054,2009Q2,super,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,984,0.5,0.3
All households,HPIQ.SALL055,2009Q2,allhh,5.5,Tools and equipment for house and garden,Tools,subgroup,1013,3.5,11.7
Beneficiary,HPIQ.SBEN055,2009Q2,benef,5.5,Tools and equipment for house and garden,Tools,subgroup,1045,3.5,14
Income quintile 1 (low),HPIQ.SIQ1055,2009Q2,disq1,5.5,Tools and equipment for house and garden,Tools,subgroup,1010,3.8,11.8
Income quintile 2,HPIQ.SIQ2055,2009Q2,disq2,5.5,Tools and equipment for house and garden,Tools,subgroup,1031,3.6,13
Income quintile 3,HPIQ.SIQ3055,2009Q2,disq3,5.5,Tools and equipment for house and garden,Tools,subgroup,1009,3.5,12.5
Income quintile 4,HPIQ.SIQ4055,2009Q2,disq4,5.5,Tools and equipment for house and garden,Tools,subgroup,1016,3.6,11.2
Income quintile 5 (high),HPIQ.SIQ5055,2009Q2,disq5,5.5,Tools and equipment for house and garden,Tools,subgroup,1003,3,10.2
Expenditure quintile 1 (low),HPIQ.SEQ1055,2009Q2,expq1,5.5,Tools and equipment for house and garden,Tools,subgroup,1023,4.1,13.2
Expenditure quintile 2,HPIQ.SEQ2055,2009Q2,expq2,5.5,Tools and equipment for house and garden,Tools,subgroup,1023,3.2,11.4
Expenditure quintile 3,HPIQ.SEQ3055,2009Q2,expq3,5.5,Tools and equipment for house and garden,Tools,subgroup,998,3.5,11.6
Expenditure quintile 4,HPIQ.SEQ4055,2009Q2,expq4,5.5,Tools and equipment for house and garden,Tools,subgroup,1010,3.4,10.9
Expenditure quintile 5 (high),HPIQ.SEQ5055,2009Q2,expq5,5.5,Tools and equipment for house and garden,Tools,subgroup,1012,3.1,11.2
Maori,HPIQ.SMAO055,2009Q2,maori,5.5,Tools and equipment for house and garden,Tools,subgroup,1031,3.7,12.8
Superannuitant,HPIQ.SSUP055,2009Q2,super,5.5,Tools and equipment for house and garden,Tools,subgroup,1013,3.5,11.9
All households,HPIQ.SALL056,2009Q2,allhh,5.6,Other household supplies and services,Other supplies and services,subgroup,1011,0,2.1
Beneficiary,HPIQ.SBEN056,2009Q2,benef,5.6,Other household supplies and services,Other supplies and services,subgroup,1054,-0.7,1.7
Income quintile 1 (low),HPIQ.SIQ1056,2009Q2,disq1,5.6,Other household supplies and services,Other supplies and services,subgroup,1030,0,2.7
Income quintile 2,HPIQ.SIQ2056,2009Q2,disq2,5.6,Other household supplies and services,Other supplies and services,subgroup,1018,0,1.7
Income quintile 3,HPIQ.SIQ3056,2009Q2,disq3,5.6,Other household supplies and services,Other supplies and services,subgroup,1015,0,2.2
Income quintile 4,HPIQ.SIQ4056,2009Q2,disq4,5.6,Other household supplies and services,Other supplies and services,subgroup,1013,0.3,2.2
Income quintile 5 (high),HPIQ.SIQ5056,2009Q2,disq5,5.6,Other household supplies and services,Other supplies and services,subgroup,981,-0.1,1.9
Expenditure quintile 1 (low),HPIQ.SEQ1056,2009Q2,expq1,5.6,Other household supplies and services,Other supplies and services,subgroup,1031,0.1,2.6
Expenditure quintile 2,HPIQ.SEQ2056,2009Q2,expq2,5.6,Other household supplies and services,Other supplies and services,subgroup,1027,-0.1,1.8
Expenditure quintile 3,HPIQ.SEQ3056,2009Q2,expq3,5.6,Other household supplies and services,Other supplies and services,subgroup,1025,-0.1,2
Expenditure quintile 4,HPIQ.SEQ4056,2009Q2,expq4,5.6,Other household supplies and services,Other supplies and services,subgroup,1011,0,2.3
Expenditure quintile 5 (high),HPIQ.SEQ5056,2009Q2,expq5,5.6,Other household supplies and services,Other supplies and services,subgroup,968,0.3,1.9
Maori,HPIQ.SMAO056,2009Q2,maori,5.6,Other household supplies and services,Other supplies and services,subgroup,1028,-0.5,2.4
Superannuitant,HPIQ.SSUP056,2009Q2,super,5.6,Other household supplies and services,Other supplies and services,subgroup,991,0.3,2.4
All households,HPIQ.SALL06,2009Q2,allhh,6,Health,Health,group,840,1,3.4
Beneficiary,HPIQ.SBEN06,2009Q2,benef,6,Health,Health,group,841,1,3.1
Income quintile 1 (low),HPIQ.SIQ106,2009Q2,disq1,6,Health,Health,group,834,1,3
Income quintile 2,HPIQ.SIQ206,2009Q2,disq2,6,Health,Health,group,840,0.8,3.8
Income quintile 3,HPIQ.SIQ306,2009Q2,disq3,6,Health,Health,group,849,1,3.5
Income quintile 4,HPIQ.SIQ406,2009Q2,disq4,6,Health,Health,group,839,1,3.6
Income quintile 5 (high),HPIQ.SIQ506,2009Q2,disq5,6,Health,Health,group,840,1.1,3.3
Expenditure quintile 1 (low),HPIQ.SEQ106,2009Q2,expq1,6,Health,Health,group,829,1,3.4
Expenditure quintile 2,HPIQ.SEQ206,2009Q2,expq2,6,Health,Health,group,843,0.8,3.4
Expenditure quintile 3,HPIQ.SEQ306,2009Q2,expq3,6,Health,Health,group,844,1,3.6
Expenditure quintile 4,HPIQ.SEQ406,2009Q2,expq4,6,Health,Health,group,844,1,3.4
Expenditure quintile 5 (high),HPIQ.SEQ506,2009Q2,expq5,6,Health,Health,group,839,1.1,3.7
Maori,HPIQ.SMAO06,2009Q2,maori,6,Health,Health,group,848,1,3.4
Superannuitant,HPIQ.SSUP06,2009Q2,super,6,Health,Health,group,831,0.8,3.7
All households,HPIQ.SALL061,2009Q2,allhh,6.1,"Medical products, appliances and equipment",Medical products,subgroup,893,1.2,3
Beneficiary,HPIQ.SBEN061,2009Q2,benef,6.1,"Medical products, appliances and equipment",Medical products,subgroup,885,1.1,2.7
Income quintile 1 (low),HPIQ.SIQ1061,2009Q2,disq1,6.1,"Medical products, appliances and equipment",Medical products,subgroup,845,1.2,3
Income quintile 2,HPIQ.SIQ2061,2009Q2,disq2,6.1,"Medical products, appliances and equipment",Medical products,subgroup,893,1.2,2.9
Income quintile 3,HPIQ.SIQ3061,2009Q2,disq3,6.1,"Medical products, appliances and equipment",Medical products,subgroup,922,1.2,2.9
Income quintile 4,HPIQ.SIQ4061,2009Q2,disq4,6.1,"Medical products, appliances and equipment",Medical products,subgroup,898,1.5,3.1
Income quintile 5 (high),HPIQ.SIQ5061,2009Q2,disq5,6.1,"Medical products, appliances and equipment",Medical products,subgroup,916,1.6,3.4
Expenditure quintile 1 (low),HPIQ.SEQ1061,2009Q2,expq1,6.1,"Medical products, appliances and equipment",Medical products,subgroup,821,1.2,3.1
Expenditure quintile 2,HPIQ.SEQ2061,2009Q2,expq2,6.1,"Medical products, appliances and equipment",Medical products,subgroup,900,1.1,2.7
Expenditure quintile 3,HPIQ.SEQ3061,2009Q2,expq3,6.1,"Medical products, appliances and equipment",Medical products,subgroup,902,1.5,3.2
Expenditure quintile 4,HPIQ.SEQ4061,2009Q2,expq4,6.1,"Medical products, appliances and equipment",Medical products,subgroup,921,1.3,2.8
Expenditure quintile 5 (high),HPIQ.SEQ5061,2009Q2,expq5,6.1,"Medical products, appliances and equipment",Medical products,subgroup,908,1.6,3.4
Maori,HPIQ.SMAO061,2009Q2,maori,6.1,"Medical products, appliances and equipment",Medical products,subgroup,898,1.1,2.7
Superannuitant,HPIQ.SSUP061,2009Q2,super,6.1,"Medical products, appliances and equipment",Medical products,subgroup,865,0.9,2.6
All households,HPIQ.SALL062,2009Q2,allhh,6.2,Out-patient services,Out-patient services,subgroup,822,0.9,3.3
Beneficiary,HPIQ.SBEN062,2009Q2,benef,6.2,Out-patient services,Out-patient services,subgroup,824,0.9,3
Income quintile 1 (low),HPIQ.SIQ1062,2009Q2,disq1,6.2,Out-patient services,Out-patient services,subgroup,821,0.9,2.9
Income quintile 2,HPIQ.SIQ2062,2009Q2,disq2,6.2,Out-patient services,Out-patient services,subgroup,825,0.9,3.5
Income quintile 3,HPIQ.SIQ3062,2009Q2,disq3,6.2,Out-patient services,Out-patient services,subgroup,825,1,3.5
Income quintile 4,HPIQ.SIQ4062,2009Q2,disq4,6.2,Out-patient services,Out-patient services,subgroup,822,1,3.7
Income quintile 5 (high),HPIQ.SIQ5062,2009Q2,disq5,6.2,Out-patient services,Out-patient services,subgroup,819,1,3.3
Expenditure quintile 1 (low),HPIQ.SEQ1062,2009Q2,expq1,6.2,Out-patient services,Out-patient services,subgroup,830,1,3.4
Expenditure quintile 2,HPIQ.SEQ2062,2009Q2,expq2,6.2,Out-patient services,Out-patient services,subgroup,821,0.7,3.1
Expenditure quintile 3,HPIQ.SEQ3062,2009Q2,expq3,6.2,Out-patient services,Out-patient services,subgroup,824,1,3.5
Expenditure quintile 4,HPIQ.SEQ4062,2009Q2,expq4,6.2,Out-patient services,Out-patient services,subgroup,821,1,3.4
Expenditure quintile 5 (high),HPIQ.SEQ5062,2009Q2,expq5,6.2,Out-patient services,Out-patient services,subgroup,818,0.9,3.4
Maori,HPIQ.SMAO062,2009Q2,maori,6.2,Out-patient services,Out-patient services,subgroup,828,0.9,3.5
Superannuitant,HPIQ.SSUP062,2009Q2,super,6.2,Out-patient services,Out-patient services,subgroup,819,0.9,3.5
All households,HPIQ.SALL063,2009Q2,allhh,6.3,Hospital services,Hospital services,subgroup,838,0.1,5.8
Beneficiary,HPIQ.SBEN063,2009Q2,benef,6.3,Hospital services,Hospital services,subgroup,837,0.1,5.9
Income quintile 1 (low),HPIQ.SIQ1063,2009Q2,disq1,6.3,Hospital services,Hospital services,subgroup,835,0.1,5.8
Income quintile 2,HPIQ.SIQ2063,2009Q2,disq2,6.3,Hospital services,Hospital services,subgroup,834,0.2,5.8
Income quintile 3,HPIQ.SIQ3063,2009Q2,disq3,6.3,Hospital services,Hospital services,subgroup,837,0.2,5.8
Income quintile 4,HPIQ.SIQ4063,2009Q2,disq4,6.3,Hospital services,Hospital services,subgroup,839,0.2,5.8
Income quintile 5 (high),HPIQ.SIQ5063,2009Q2,disq5,6.3,Hospital services,Hospital services,subgroup,846,0.1,5.9
Expenditure quintile 1 (low),HPIQ.SEQ1063,2009Q2,expq1,6.3,Hospital services,Hospital services,subgroup,835,0.1,6
Expenditure quintile 2,HPIQ.SEQ2063,2009Q2,expq2,6.3,Hospital services,Hospital services,subgroup,835,0.1,5.8
Expenditure quintile 3,HPIQ.SEQ3063,2009Q2,expq3,6.3,Hospital services,Hospital services,subgroup,837,0.2,5.8
Expenditure quintile 4,HPIQ.SEQ4063,2009Q2,expq4,6.3,Hospital services,Hospital services,subgroup,840,0.1,5.8
Expenditure quintile 5 (high),HPIQ.SEQ5063,2009Q2,expq5,6.3,Hospital services,Hospital services,subgroup,844,0.1,5.8
Maori,HPIQ.SMAO063,2009Q2,maori,6.3,Hospital services,Hospital services,subgroup,835,0.1,5.8
Superannuitant,HPIQ.SSUP063,2009Q2,super,6.3,Hospital services,Hospital services,subgroup,835,0.1,5.8
All households,HPIQ.SALL07,2009Q2,allhh,7,Transport,Transport,group,831,0.5,-7.9
Beneficiary,HPIQ.SBEN07,2009Q2,benef,7,Transport,Transport,group,816,1.7,-6.6
Income quintile 1 (low),HPIQ.SIQ107,2009Q2,disq1,7,Transport,Transport,group,811,0.9,-8
Income quintile 2,HPIQ.SIQ207,2009Q2,disq2,7,Transport,Transport,group,819,0.7,-8.7
Income quintile 3,HPIQ.SIQ307,2009Q2,disq3,7,Transport,Transport,group,823,0.7,-8.6
Income quintile 4,HPIQ.SIQ407,2009Q2,disq4,7,Transport,Transport,group,845,0.4,-7.1
Income quintile 5 (high),HPIQ.SIQ507,2009Q2,disq5,7,Transport,Transport,group,851,0.1,-6.9
Expenditure quintile 1 (low),HPIQ.SEQ107,2009Q2,expq1,7,Transport,Transport,group,802,0.8,-8.7
Expenditure quintile 2,HPIQ.SEQ207,2009Q2,expq2,7,Transport,Transport,group,806,0.8,-9.5
Expenditure quintile 3,HPIQ.SEQ307,2009Q2,expq3,7,Transport,Transport,group,821,0.1,-8.5
Expenditure quintile 4,HPIQ.SEQ407,2009Q2,expq4,7,Transport,Transport,group,844,0.1,-7.6
Expenditure quintile 5 (high),HPIQ.SEQ507,2009Q2,expq5,7,Transport,Transport,group,870,0.8,-5.5
Maori,HPIQ.SMAO07,2009Q2,maori,7,Transport,Transport,group,821,1.9,-7.4
Superannuitant,HPIQ.SSUP07,2009Q2,super,7,Transport,Transport,group,833,0.6,-6.6
All households,HPIQ.SALL071,2009Q2,allhh,7.1,Purchase of vehicles,Vehicles,subgroup,961,4.1,3.4
Beneficiary,HPIQ.SBEN071,2009Q2,benef,7.1,Purchase of vehicles,Vehicles,subgroup,928,4.5,1.2
Income quintile 1 (low),HPIQ.SIQ1071,2009Q2,disq1,7.1,Purchase of vehicles,Vehicles,subgroup,939,4.3,1.4
Income quintile 2,HPIQ.SIQ2071,2009Q2,disq2,7.1,Purchase of vehicles,Vehicles,subgroup,957,3.6,3.1
Income quintile 3,HPIQ.SIQ3071,2009Q2,disq3,7.1,Purchase of vehicles,Vehicles,subgroup,936,4.2,2.4
Income quintile 4,HPIQ.SIQ4071,2009Q2,disq4,7.1,Purchase of vehicles,Vehicles,subgroup,974,4.1,3.9
Income quintile 5 (high),HPIQ.SIQ5071,2009Q2,disq5,7.1,Purchase of vehicles,Vehicles,subgroup,979,4.6,4.5
Expenditure quintile 1 (low),HPIQ.SEQ1071,2009Q2,expq1,7.1,Purchase of vehicles,Vehicles,subgroup,941,4.4,2.5
Expenditure quintile 2,HPIQ.SEQ2071,2009Q2,expq2,7.1,Purchase of vehicles,Vehicles,subgroup,943,3.7,1.9
Expenditure quintile 3,HPIQ.SEQ3071,2009Q2,expq3,7.1,Purchase of vehicles,Vehicles,subgroup,936,4,2.2
Expenditure quintile 4,HPIQ.SEQ4071,2009Q2,expq4,7.1,Purchase of vehicles,Vehicles,subgroup,955,4,3.9
Expenditure quintile 5 (high),HPIQ.SEQ5071,2009Q2,expq5,7.1,Purchase of vehicles,Vehicles,subgroup,983,4.4,3.9
Maori,HPIQ.SMAO071,2009Q2,maori,7.1,Purchase of vehicles,Vehicles,subgroup,931,4.1,2.5
Superannuitant,HPIQ.SSUP071,2009Q2,super,7.1,Purchase of vehicles,Vehicles,subgroup,990,3.6,4.5
All households,HPIQ.SALL072,2009Q2,allhh,7.2,Private transport supplies and services,Private transport supplies,subgroup,796,2.2,-9.5
Beneficiary,HPIQ.SBEN072,2009Q2,benef,7.2,Private transport supplies and services,Private transport supplies,subgroup,799,2.3,-7.8
Income quintile 1 (low),HPIQ.SIQ1072,2009Q2,disq1,7.2,Private transport supplies and services,Private transport supplies,subgroup,793,2.1,-8.7
Income quintile 2,HPIQ.SIQ2072,2009Q2,disq2,7.2,Private transport supplies and services,Private transport supplies,subgroup,791,2.2,-10.3
Income quintile 3,HPIQ.SIQ3072,2009Q2,disq3,7.2,Private transport supplies and services,Private transport supplies,subgroup,790,2.2,-10.3
Income quintile 4,HPIQ.SIQ4072,2009Q2,disq4,7.2,Private transport supplies and services,Private transport supplies,subgroup,804,2.2,-8.9
Income quintile 5 (high),HPIQ.SIQ5072,2009Q2,disq5,7.2,Private transport supplies and services,Private transport supplies,subgroup,802,2.3,-9.2
Expenditure quintile 1 (low),HPIQ.SEQ1072,2009Q2,expq1,7.2,Private transport supplies and services,Private transport supplies,subgroup,789,2.1,-8.8
Expenditure quintile 2,HPIQ.SEQ2072,2009Q2,expq2,7.2,Private transport supplies and services,Private transport supplies,subgroup,787,2.2,-10.6
Expenditure quintile 3,HPIQ.SEQ3072,2009Q2,expq3,7.2,Private transport supplies and services,Private transport supplies,subgroup,795,2.2,-9.9
Expenditure quintile 4,HPIQ.SEQ4072,2009Q2,expq4,7.2,Private transport supplies and services,Private transport supplies,subgroup,799,2.2,-9.8
Expenditure quintile 5 (high),HPIQ.SEQ5072,2009Q2,expq5,7.2,Private transport supplies and services,Private transport supplies,subgroup,811,2.3,-8.6
Maori,HPIQ.SMAO072,2009Q2,maori,7.2,Private transport supplies and services,Private transport supplies,subgroup,798,2.3,-9.3
Superannuitant,HPIQ.SSUP072,2009Q2,super,7.2,Private transport supplies and services,Private transport supplies,subgroup,797,2,-8.3
All households,HPIQ.SALL073,2009Q2,allhh,7.3,Passenger transport services,Passenger transport,subgroup,856,-8.3,-11.2
Beneficiary,HPIQ.SBEN073,2009Q2,benef,7.3,Passenger transport services,Passenger transport,subgroup,859,-6.1,-5.5
Income quintile 1 (low),HPIQ.SIQ1073,2009Q2,disq1,7.3,Passenger transport services,Passenger transport,subgroup,853,-9,-9.7
Income quintile 2,HPIQ.SIQ2073,2009Q2,disq2,7.3,Passenger transport services,Passenger transport,subgroup,840,-8.5,-11.4
Income quintile 3,HPIQ.SIQ3073,2009Q2,disq3,7.3,Passenger transport services,Passenger transport,subgroup,853,-7.9,-11.3
Income quintile 4,HPIQ.SIQ4073,2009Q2,disq4,7.3,Passenger transport services,Passenger transport,subgroup,860,-8.6,-11.8
Income quintile 5 (high),HPIQ.SIQ5073,2009Q2,disq5,7.3,Passenger transport services,Passenger transport,subgroup,866,-8,-11
Expenditure quintile 1 (low),HPIQ.SEQ1073,2009Q2,expq1,7.3,Passenger transport services,Passenger transport,subgroup,830,-7.3,-11.1
Expenditure quintile 2,HPIQ.SEQ2073,2009Q2,expq2,7.3,Passenger transport services,Passenger transport,subgroup,838,-8.2,-10.3
Expenditure quintile 3,HPIQ.SEQ3073,2009Q2,expq3,7.3,Passenger transport services,Passenger transport,subgroup,856,-9,-9.7
Expenditure quintile 4,HPIQ.SEQ4073,2009Q2,expq4,7.3,Passenger transport services,Passenger transport,subgroup,859,-9.1,-13.1
Expenditure quintile 5 (high),HPIQ.SEQ5073,2009Q2,expq5,7.3,Passenger transport services,Passenger transport,subgroup,872,-7.3,-10.7
Maori,HPIQ.SMAO073,2009Q2,maori,7.3,Passenger transport services,Passenger transport,subgroup,868,-3.6,-5.4
Superannuitant,HPIQ.SSUP073,2009Q2,super,7.3,Passenger transport services,Passenger transport,subgroup,824,-7.1,-12.2
All households,HPIQ.SALL08,2009Q2,allhh,8,Communication,Communication,group,1183,0.9,-0.3
Beneficiary,HPIQ.SBEN08,2009Q2,benef,8,Communication,Communication,group,1157,1.1,0
Income quintile 1 (low),HPIQ.SIQ108,2009Q2,disq1,8,Communication,Communication,group,1078,1,0.7
Income quintile 2,HPIQ.SIQ208,2009Q2,disq2,8,Communication,Communication,group,1141,1.1,0
Income quintile 3,HPIQ.SIQ308,2009Q2,disq3,8,Communication,Communication,group,1208,0.8,-0.4
Income quintile 4,HPIQ.SIQ408,2009Q2,disq4,8,Communication,Communication,group,1263,0.7,-0.9
Income quintile 5 (high),HPIQ.SIQ508,2009Q2,disq5,8,Communication,Communication,group,1280,0.5,-1.2
Expenditure quintile 1 (low),HPIQ.SEQ108,2009Q2,expq1,8,Communication,Communication,group,1068,1.2,0.8
Expenditure quintile 2,HPIQ.SEQ208,2009Q2,expq2,8,Communication,Communication,group,1154,0.9,-0.1
Expenditure quintile 3,HPIQ.SEQ308,2009Q2,expq3,8,Communication,Communication,group,1215,0.8,-0.7
Expenditure quintile 4,HPIQ.SEQ408,2009Q2,expq4,8,Communication,Communication,group,1278,0.5,-1.2
